#m_st   #Exp(pb) #Obs(pb)  ##m_chi0=40
90.61	 1.035	   1.06
108.7	 0.2978	   0.3026
127.3	 0.08544   0.1022
146.3	 0.1104	   0.0632
165.6	 0.05992   0.06121
185.	 0.03861   0.03986
204.5	 0.0318	   0.03233
224.1	 0.03253   0.03328
243.7	 0.02665   0.02731
263.5	 0.02606   0.02686
283.2	 0.02456   0.02336
303.	 0.01916   0.01961

